question,response,price_chopper_zscore
age,49.0,-0.161
8th Oldest Child Age,16,-0.162
Experienced loss of close friend or family member,Yes,-0.162
Household size (1),13.0,-0.162
Country of Birth,Cambodia,-0.164
Household size (1),18.0,-0.164
Country of Birth,Nepal,-0.165
5th Oldest Child Age,12,-0.166
Birth Year,1923.0,-0.168
State of Residence,British Columbia,-0.168
age,95.0,-0.168
Country of Birth,Egypt,-0.169
Country of Birth,Bosnia and Herzegovina,-0.17
State of Residence,Utah,-0.17
6th Oldest Child Age,15,-0.17
Number of children under 18 in household,16.0,-0.171
5th Oldest Child Age,17,-0.171
Country of Birth,Estonia,-0.172
Country of Birth,Italy,-0.172
Designated Market Area (DMA),Salt Lake City,-0.172
Country of Birth,Gabon,-0.173
7th Oldest Child Age,12,-0.173
Designated Market Area (DMA),Tyler - Longview - Lufkin - Nacogdoches,-0.174
Age 21 or Older,21+,-0.174
Level of management at employer,CEO, Chairman, or Owner of a business,-0.175
Country of Birth,Jordan,-0.176
6th Oldest Child Age,0,-0.176
9th Oldest Child Age,0,-0.176
Number of children under 18 in household,20.0,-0.176
Designated Market Area (DMA),San Antonio,-0.177
Country of Birth,Tunisia,-0.178
Other (mixed race),Yes,-0.178
Country of Birth,Saint Lucia,-0.179
Country of Birth,Bhutan,-0.179
2nd Oldest Child Age,8,-0.18
Country of Birth,Kyrgyzstan,-0.181
Country of Birth,Bahrain,-0.182
Country of Birth,Armenia,-0.182
State of Residence,Arkansas,-0.182
Country of Birth,Moldova, Republic of,-0.182
5th Oldest Child Age,16,-0.183
Profession or job,Caregiver,-0.183
Designated Market Area (DMA),Portland - Auburn,-0.184
Age (media) 18-34 / 35-49 / 50-64 / 65+,35-49,-0.185
10th Oldest Child Age,0,-0.186
8th Oldest Child Age,0,-0.186
6th Oldest Child Age,5,-0.186
Years Disabled,5,-0.186
Country of Birth,Anguilla,-0.187
State of Residence,Alabama,-0.187
Designated Market Area (DMA),Harrisburg - Lancaster - Lebanon - York,-0.187
Conferences,No,-0.187
6th Oldest Child Age,8,-0.187
State of Residence,Northwest Territories,-0.189
Household size (1),15.0,-0.189
Country of Birth,Bahamas,-0.189
Designated Market Area (DMA),Saint Louis,-0.189
State of Residence,Alberta,-0.19
4th Oldest Child Age,15,-0.19
Oldest Child Age,8,-0.19
Horse or pony (Pets owned in household),No,-0.19
Education,4-year,-0.191
5th Oldest Child Age,10,-0.191
Country of Birth,Zambia,-0.191
Type of school/university currently working for,Early education (includes pre-school, pre-kindergarten, or day care),-0.192
No. of months been disabled,11,-0.192
Access to garden,Yes, I have access to a communal outdoor space,-0.193
Country of Birth,Saint Kitts and Nevis,-0.194
Pig (Working animals owned in household),Yes,-0.195
5th Oldest Child Age,11,-0.196
No. of months been disabled,6,-0.196
Designated Market Area (DMA),Corpus Christi,-0.197
Designated Market Area (DMA),Minot - Bismarck - Dickinson,-0.197
No. of months been disabled,8,-0.197
Designated Market Area (DMA),Rockford,-0.198
Romanian (foreign languages spoken),No,-0.198
7th Oldest Child Age,3,-0.199
Country of Birth,Cape Verde,-0.199
Country of Birth,Aland Islands,-0.2
Country of Birth,Bolivia,-0.201
Retire,Yes,-0.201
Horse or pony (Working animals owned in household),Yes,-0.201
Country of Birth,Sudan,-0.202
Interaction with fewer people,No,-0.202
Country of Birth,Yemen,-0.202
8th Oldest Child Age,1,-0.202
6th Oldest Child Age,17,-0.202
No. of months been disabled,1,-0.203
Recruitment,Yes,-0.204
State of Residence,Prince Edward Island,-0.204
4th Oldest Child Age,7,-0.204
Designated Market Area (DMA),Harlingen - Weslaco - Brownsville - Mcallen,-0.205
Birth Year,1942.0,-0.205
7th Oldest Child Age,2,-0.205
9th Oldest Child Age,1,-0.205
Oldest Child Age,18,-0.205
Country of Birth,Lithuania,-0.205
6th Oldest Child Age,4,-0.205
6th Oldest Child Age,3,-0.205
HR/ personnel,No,-0.206
Country of Birth,Mongolia,-0.206
Goat (Animals (pets or working) owned in household),Yes,-0.206
Designated Market Area (DMA),North Platte,-0.206
Prefer not to say (Ages of grandchildren),Yes,-0.207
Country of Birth,Kazakhstan,-0.208
Household size (1),12.0,-0.209
Goat (Working animals owned in household),Yes,-0.21
Designated Market Area (DMA),Laredo,-0.21
School type - currently attending,Other graduate program at a university,-0.211
Designated Market Area (DMA),Grand Rapids - Kalamazoo - Battle Creek,-0.211
Job Title,Professional/Professional Specialist,-0.211
Pig (Pets owned in household),Yes,-0.211
Country of Birth,Cameroon,-0.211
Country of Birth,Ethiopia,-0.212
Country of Birth,Belize,-0.213
Country of Birth,Myanmar,-0.213
Designated Market Area (DMA),Richmond - Petersburg,-0.213
Country of Birth,Virgin Islands, U.S.,-0.214
Country of Birth,Honduras,-0.214
Household size (1),22.0,-0.214
Designated Market Area (DMA),Odessa - Midland,-0.214
Designated Market Area (DMA),Helena,-0.215
State of Residence,Puerto Rico,-0.215
age,48.0,-0.215
Served Active Duty,Not active duty, but did training for Reserves or National Guard more than 12 months ago,-0.215
Finish school/college,Yes,-0.216
Designated Market Area (DMA),Sioux City,-0.217
5th Oldest Child Age,5,-0.217
Country of Birth,Bangladesh,-0.217
Country of Birth,Korea, Democratic People's Republic of,-0.217
6th Oldest Child Age,2,-0.217
Cow (Animals (pets or working) owned in household),Yes,-0.217
Designated Market Area (DMA),Lansing,-0.218
Birth Year,1967.0,-0.218
Country of Birth,Saudi Arabia,-0.219
State of Residence,Quebec,-0.219
Country of Birth,Palestinian Territory, Occupied,-0.219
7th Oldest Child Age,0,-0.22
4th Oldest Child Age,17,-0.221
Designated Market Area (DMA),Miami - Fort Lauderdale,-0.221
Designated Market Area (DMA),Columbia - Jefferson City,-0.221
Country of Birth,Hong Kong,-0.222
Designated Market Area (DMA),Meridian,-0.222
No. of months been disabled,3,-0.222
4th Oldest Child Age,16,-0.223
Designated Market Area (DMA),Anchorage,-0.224
Designated Market Area (DMA),Waco - Temple - Bryan,-0.224
Country of Birth,Iran, Islamic Republic of,-0.225
age,94.0,-0.226
Level of government currently working for,Not applicable - I am not currently employed by the government,-0.227
5th Oldest Child Age,3,-0.227
Country of Birth,Hungary,-0.228
Designated Market Area (DMA),Beaumont - Port Arthur,-0.228
11,No,-0.229
Country of Birth,Uganda,-0.229
Designated Market Area (DMA),Green Bay - Appleton,-0.229
Designated Market Area (DMA),Amarillo,-0.23
Years Disabled,8,-0.23
Number of children under 18 in household,18.0,-0.231
Number of children under 18 in household,9.0,-0.231
5th Oldest Child Age,9,-0.232
Country of Birth,American Samoa,-0.233
Country of Birth,Albania,-0.234
2nd Oldest Child Age,18,-0.234
Country of Birth,Austria,-0.235
Designated Market Area (DMA),Sioux Falls - Mitchell,-0.235
Kid 9 Gender,Female,-0.236
Designated Market Area (DMA),Evansville,-0.236
Country of Birth,Czech Republic,-0.238
6th Oldest Child Age,1,-0.239
Designated Market Area (DMA),Omaha,-0.239
State of Residence,New Hampshire,-0.239
Country of Birth,Afghanistan,-0.239
Moved in with partner,Yes,-0.239
Designated Market Area (DMA),Wilmington,-0.239
Number of children under 18 in household,8.0,-0.24
Designated Market Area (DMA),San Angelo,-0.241
4th Oldest Child Age,12,-0.241
Household size (1),20.0,-0.241
Snake (Pets owned in household),No,-0.242
Country of Birth,Switzerland,-0.242
Country of Birth,Nicaragua,-0.242
Designated Market Area (DMA),Portland-Or,-0.243
Designated Market Area (DMA),Billings,-0.243
Designated Market Area (DMA),Presque Isle,-0.243
Living with child(ren) who are over 18,Yes,-0.243
Making the world a better place,No,-0.244
Designated Market Area (DMA),Augusta,-0.244
Designated Market Area (DMA),Las Vegas,-0.244
Designated Market Area (DMA),Traverse City - Cadillac,-0.244
4th Oldest Child Age,8,-0.245
8,Yes,-0.245
Kid 10 Gender,Male,-0.245
Country of Birth,Finland,-0.246
Country of Birth,Indonesia,-0.246
Pig (Animals (pets or working) owned in household),Yes,-0.246
Country of Birth,Azerbaijan,-0.247
Country of Birth,Kenya,-0.247
Annual Company Revenue,$11 Million to $25 Million,-0.247
5th Oldest Child Age,14,-0.247
Designated Market Area (DMA),Alexandria-La,-0.247
Designated Market Area (DMA),Alpena,-0.247
Country of Birth,Uruguay,-0.247
Country of Birth,Luxembourg,-0.248
Sheep (Working animals owned in household),Yes,-0.248
Designated Market Area (DMA),Philadelphia,-0.248
Country of Birth,Slovakia,-0.249
Like or dislike job,I love it,-0.249
Profession or job,Architect,-0.25
Designated Market Area (DMA),Juneau,-0.25
age,28.0,-0.251
Country of Birth,Sierra Leone,-0.251
Designated Market Area (DMA),Cheyenne - Scottsbluff,-0.251
Designated Market Area (DMA),Lake Charles,-0.251
5th Oldest Child Age,2,-0.251
Country of Birth,Denmark,-0.251
State of Residence,Michigan,-0.252
Facilities / premises / health & safety,No,-0.252
Profession or job,Network Manager,-0.252
Designated Market Area (DMA),Erie,-0.252
Designated Market Area (DMA),Quincy - Hannibal - Keokuk,-0.253
State of Residence,Wyoming,-0.254
Type of organization currently working for,Private, for-profit company,-0.254
Designated Market Area (DMA),Greensboro - High Point - Winston-Salem,-0.254
5th Oldest Child Age,Not Applicable,-0.254
Individual Income,$60,000 - $69,999,-0.256
Designated Market Area (DMA),Eugene,-0.256
Designated Market Area (DMA),Yuma - El Centro,-0.256
Country of Birth,Guatemala,-0.256
NAICS Industry Code,Wholesale Trade,-0.257
Don't know (foreign languages spoken),No,-0.257
Designated Market Area (DMA),Bend-Or,-0.257
Country of Birth,Ireland,-0.257
Designated Market Area (DMA),Macon,-0.258
Years Disabled,4,-0.258
Individual Income,$250,000 or more,-0.258
Designated Market Area (DMA),Rochester - Mason City - Austin,-0.259
Designated Market Area (DMA),Grand Junction - Montrose,-0.259
Cow (Pets owned in household),Yes,-0.259
Birth Year,1924.0,-0.259
Generation,Gen Z (2000 and later),-0.259
Extra money,Yes,-0.26
Country of Birth,Don't know,-0.26
age,60.0,-0.261
Birth Year,2000.0,-0.261
Designated Market Area (DMA),Greenville - Spartanburg - Asheville - Anderson,-0.261
Designated Market Area (DMA),Great Falls,-0.261
State of Residence,Wisconsin,-0.261
State of Residence,Nevada,-0.262
Designated Market Area (DMA),Bowling Green,-0.262
Pay more money,No,-0.263
Art / fine art / performing arts,Yes,-0.263
Designated Market Area (DMA),Madison,-0.263
Country of Birth,Pakistan,-0.264
Better working environment,Yes,-0.265
4th Oldest Child Age,13,-0.265
State of Residence,Oregon,-0.266
Designated Market Area (DMA),Fresno - Visalia,-0.266
Union membership household,Past member,-0.266
Designated Market Area (DMA),Youngstown,-0.267
Annual Company Revenue,$1 Million to $5 Million,-0.267
17,No,-0.268
5th Oldest Child Age,0,-0.268
Number of children under 18 in household,5.0,-0.268
Designated Market Area (DMA),Pittsburgh,-0.268
Years Disabled,6,-0.268
Birth Year,1933.0,-0.268
Birth Year,1963.0,-0.269
Designated Market Area (DMA),Flint - Saginaw - Bay City,-0.269
Designated Market Area (DMA),Cedar Rapids - Waterloo - Dubuque,-0.271
Oldest Child Age,2,-0.271
Number of children under 18 in household,10.0,-0.271
State of Residence,Alaska,-0.272
Designated Market Area (DMA),Charlottesville,-0.273
Worksite type,On-site outdoors (e.g. national parks/ farmland/ construction zone, etc. ),-0.273
Country of Birth,Liberia,-0.274
Designated Market Area (DMA),Parkersburg,-0.274
No. of months been disabled,5,-0.274
Designated Market Area (DMA),Atlanta,-0.274
Years Disabled,1,-0.274
Designated Market Area (DMA),Twin Falls,-0.274
Designated Market Area (DMA),Lafayette-In,-0.275
Designated Market Area (DMA),Milwaukee,-0.275
4th Oldest Child Age,11,-0.276
Rabbit (Animals (pets or working) owned in household),Yes,-0.276
Country of Birth,Iraq,-0.277
Country of Birth,Zimbabwe,-0.277
Kid 8 Gender,Female,-0.277
To improve the world,Yes,-0.278
Annual Company Revenue,$26 Million to $50 Million,-0.278
Country of Birth,Syrian Arab Republic,-0.279
age,39.0,-0.279
Computer sciences (e.g., IT, programming, etc.),Yes,-0.279
age,20.0,-0.279
Household size (1),25.0,-0.279
Household size (1),11.0,-0.28
Designated Market Area (DMA),Columbia-Sc,-0.28
Designated Market Area (DMA),Shreveport,-0.28
Job Title,Chairman/Board Member,-0.281
Country of Birth,Ecuador,-0.281
Country of Birth,Brazil,-0.282
Designated Market Area (DMA),Austin, Texas,-0.283
Number of children under 18 in household,14.0,-0.283
Designated Market Area (DMA),Missoula,-0.284
Under 6 months old,Yes,-0.285
Designated Market Area (DMA),Hattiesburg - Laurel,-0.286
Designated Market Area (DMA),Sacramento - Stockton - Modesto,-0.286
Designated Market Area (DMA),Eureka,-0.287
Country of Birth,Greece,-0.287
Designated Market Area (DMA),Terre Haute,-0.287
Designated Market Area (DMA),Greenwood - Greenville,-0.287
14 years old,No,-0.288
Oldest Child Age,5,-0.289
Country of Birth,Sweden,-0.289
Sheep (Animals (pets or working) owned in household),Yes,-0.289
3rd Oldest Child Age,13,-0.289
Country of Birth,Bulgaria,-0.289
Designated Market Area (DMA),Roanoke - Lynchburg,-0.289
Number of children under 18 in household,17.0,-0.29
Number of children under 18 in household,11.0,-0.29
Designated Market Area (DMA),Santa Barbara - Santa Maria - San Luis Obispo,-0.29
Individual Income,$150,000 - $249,999,-0.29
State of Residence,Rhode Island,-0.29
Designated Market Area (DMA),Chico - Redding,-0.29
Profession or job,Trainer or professional development,-0.29
Served Active Duty,Yes, now on active duty,-0.291
Designated Market Area (DMA),Detroit,-0.291
Gotten married,Yes,-0.292
Designated Market Area (DMA),Abilene - Sweetwater,-0.292
4th Oldest Child Age,0,-0.293
Country of Birth,Norway,-0.293
Designated Market Area (DMA),Medford - Klamath Falls,-0.293
Designated Market Area (DMA),Columbus-Ga,-0.293
age,93.0,-0.294
Designated Market Area (DMA),Wheeling - Steubenville,-0.294
2,Yes,-0.296
Birth Year,1979.0,-0.296
Kid 8 Gender,Male,-0.296
Country of Birth,Poland,-0.296
Designated Market Area (DMA),Sherman-Tx - Ada-Ok,-0.297
Designated Market Area (DMA),Boise,-0.297
Individual Income,$20,000 - $39,999,-0.297
age,85.0,-0.297
Designated Market Area (DMA),Chattanooga,-0.297
Designated Market Area (DMA),Peoria - Bloomington,-0.298
Designated Market Area (DMA),Monroe - El Dorado,-0.298
Years Disabled,2,-0.299
Country of Birth,Sri Lanka,-0.299
Designated Market Area (DMA),Butte - Bozeman,-0.3
Designated Market Area (DMA),Charleston-Sc,-0.3
Designated Market Area (DMA),Gainesville,-0.3
Country of Birth,Singapore,-0.3
4th Oldest Child Age,6,-0.301
Designated Market Area (DMA),Champaign - Springfield - Decatur,-0.301
State of Residence,South Carolina,-0.302
5th Oldest Child Age,6,-0.302
Designated Market Area (DMA),South Bend - Elkhart,-0.302
Guinea pig (Animals (pets or working) owned in household),Yes,-0.303
Hamster (Working animals owned in household),Yes,-0.304
Country of Birth,United States Minor Outlying Islands,-0.304
Designated Market Area (DMA),Panama City,-0.304
Designated Market Area (DMA),Tampa - Saint Petersburg,-0.305
Country of Birth,Turkey,-0.305
Designated Market Area (DMA),Greenville - New Bern - Washington,-0.305
Data protection,Yes,-0.305
3rd Oldest Child Age,4,-0.305
Guinea pig (Working animals owned in household),Yes,-0.306
Disability type,Both,-0.306
State of Residence,Washington,-0.306
Designated Market Area (DMA),Florence - Myrtle Beach,-0.308
Designated Market Area (DMA),Idaho Falls - Pocatello,-0.308
Designated Market Area (DMA),Albany-Ga,-0.308
Designated Market Area (DMA),Chicago,-0.309
Designated Market Area (DMA),Columbus - Tupelo - West Point,-0.31
Number of children under 18 in household,13.0,-0.31
4th Oldest Child Age,1,-0.311
3rd Oldest Child Age,17,-0.311
Management responsibility at employer,Yes,-0.312
Designated Market Area (DMA),Fort Smith - Fayetteville - Springdale - Rogers,-0.312
Designated Market Area (DMA),Providence - New Bedford,-0.312
School type - currently attending,Other,-0.313
Country of Birth,Ghana,-0.313
Retired,No,-0.314
Designated Market Area (DMA),Mankato,-0.314
Designated Market Area (DMA),Lafayette-La,-0.315
Not applicable - I don't have any animals,No,-0.315
Sheep (Pets owned in household),Yes,-0.315
Birth Year,1993.0,-0.315
Profession or job,Security guard,-0.315
Designated Market Area (DMA),Ottumwa - Kirksville,-0.315
Kid 10 Gender,Female,-0.315
Type of organization currently working for,Government,-0.316
13,No,-0.316
Designated Market Area (DMA),Wichita Falls - Lawton,-0.316
Designated Market Area (DMA),Seattle - Tacoma,-0.316
Designated Market Area (DMA),El Paso,-0.317
Designated Market Area (DMA),Zanesville,-0.317
Country of Birth,Portugal,-0.317
Country of Birth,Belgium,-0.318
age,92.0,-0.318
State of Residence,North Carolina,-0.318
Level of government currently working for,Local,-0.321
Access to garden,Yes, I have access to both my own and a communal outdoor space,-0.321
Designated Market Area (DMA),Harrisonburg,-0.321
Birth Year,1925.0,-0.321
State of Residence,Montana,-0.321
Designated Market Area (DMA),Toledo,-0.321
4th Oldest Child Age,2,-0.321
Country of Birth,Canada,-0.321
Country of Birth,Thailand,-0.321
State of Residence,North Dakota,-0.321
Designated Market Area (DMA),Raleigh - Durham,-0.321
3rd Oldest Child Age,8,-0.322
Country of Birth,Lebanon,-0.322
Designated Market Area (DMA),Lima,-0.322
Like or dislike job,I like it, but I don’t love it,-0.322
Designated Market Area (DMA),Indianapolis,-0.323
In the market for a new job,Not applicable – I can’t work,-0.323
3rd Oldest Child Age,3,-0.323
So I could move out,Yes,-0.324
Designated Market Area (DMA),Albuquerque - Santa Fe,-0.324
Number of children under 18 in household,15.0,-0.325
5 years old,Yes,-0.325
5th Oldest Child Age,1,-0.326
Divorce/separate from long-term partner / End an intimate relationship,Yes,-0.326
Designated Market Area (DMA),Charlotte,-0.326
Country of Birth,Haiti,-0.327
Country of Birth,El Salvador,-0.327
Designated Market Area (DMA),Monterey - Salinas,-0.328
Designated Market Area (DMA),Casper - Riverton,-0.328
Designated Market Area (DMA),Lexington,-0.328
Designated Market Area (DMA),New Orleans,-0.328
Other (Decision making responsibility),Yes,-0.328
Kid 7 Gender,Male,-0.329
4th Oldest Child Age,14,-0.329
Designated Market Area (DMA),Cleveland,-0.329
Household - time since last moved,Don't know,-0.329
State of Residence,South Dakota,-0.329
3rd Oldest Child Age,14,-0.33
Get married (Life events planned in the next 12 months),Yes,-0.33
State of Residence,New Mexico,-0.33
Not applicable – I'm a sole trader,No,-0.331
Annual Company Revenue,$100,000 to $499,999,-0.331
Designated Market Area (DMA),Jackson-Tn,-0.331
Designated Market Area (DMA),Lubbock,-0.331
Designated Market Area (DMA),Biloxi - Gulfport,-0.332
Level of management at employer,Partner or Co-Owner of a business,-0.332
2nd Oldest Child Age,15,-0.333
Designated Market Area (DMA),Clarksburg - Weston,-0.334
3rd Oldest Child Age,10,-0.335
Profession or job,Cook / chef,-0.336
Kid 9 Gender,Male,-0.336
NAICS Industry Code,Agriculture, Forestry, Fishing and Hunting,-0.336
To do something I love/always wanted to do,Yes,-0.337
Designated Market Area (DMA),Cincinnati,-0.337
Designated Market Area (DMA),Yakima - Pasco - Richland - Kennewick,-0.337
3rd Oldest Child Age,0,-0.338
Child got married,Yes,-0.338
3rd Oldest Child Age,6,-0.338
Corporate hospitality / relations,Yes,-0.34
NAICS Industry Code,Research,-0.342
Domestic fowl (e.g. chicken, turkey, pheasant, etc.) (Working animals owned in household),Yes,-0.342
Sunoco Markets 1,Charleston: Charleston-North Charleston-Summerville, SC,-0.342
Designated Market Area (DMA),Bluefield - Beckley - Oak Hill,-0.344
Health / medicine,No,-0.344
Designated Market Area (DMA),Norfolk - Portsmouth - Newport News,-0.344
Living with friend(s) or housemate(s),Yes,-0.345
Country of Birth,Algeria,-0.345
Designated Market Area (DMA),Rapid City,-0.345
Profession or job,Attorney or Lawyer,-0.345
Dog (Animals (pets or working) owned in household),No,-0.347
Designated Market Area (DMA),Elmira,-0.347
Designated Market Area (DMA),Davenport - Rock Island - Moline,-0.347
Designated Market Area (DMA),Marquette,-0.348
Sunoco Markets 1,Nashville: Nashville-Davidson--Murfreesboro--Franklin, TN,-0.348
9 years old,No,-0.349
Country of Birth,South Africa,-0.35
Designated Market Area (DMA),Montgomery - Selma,-0.351
4th Oldest Child Age,9,-0.352
Birth Year,1991.0,-0.352
Designated Market Area (DMA),Dallas - Fort Worth,-0.353
Company cars,Yes,-0.354
State of Residence,Idaho,-0.354
State of Residence,New Jersey,-0.354
Designated Market Area (DMA),Salisbury,-0.355
Designated Market Area (DMA),Dothan,-0.355
Birth Year,1928.0,-0.355
Country of Birth,Israel,-0.355
State of Residence,Illinois,-0.355
Designated Market Area (DMA),San Diego,-0.356
Profession or job,Call center professional,-0.357
Years Disabled,7,-0.357
Number of children under 18 in household,12.0,-0.357
To support myself,Yes,-0.358
Because I thought I could do something better than what’s out there,Yes,-0.358
E-Commerce / internet services,No,-0.358
Designated Market Area (DMA),West Palm Beach - Fort Pierce,-0.359
Designated Market Area (DMA),Colorado Springs - Pueblo,-0.359
Garden size,Don’t know,-0.361
No. of months been disabled,12,-0.361
German (foreign languages spoken),Yes,-0.363
Designated Market Area (DMA),Fort Wayne,-0.363
Made a major home improvement,No,-0.364
Kid 6 Gender,Female,-0.364
Designated Market Area (DMA),Tulsa,-0.364
Designated Market Area (DMA),Bakersfield,-0.365
4th Oldest Child Age,3,-0.366
School type - currently attending,Medical School,-0.366
State of Residence,Hawaii,-0.366
Birth Year,1926.0,-0.367
Started a new job,Yes,-0.368
Designated Market Area (DMA),Wichita - Hutchinson,-0.37
Not Applicable - I do not have a side job or paid hobby,No,-0.37
Started first job,Yes,-0.371
State of Residence,Oklahoma,-0.371
Country of Birth,Germany,-0.371
Private medical insurance / healthcare,Yes,-0.374
Designated Market Area (DMA),Tri-Cities-Tn-Va,-0.374
Country of Birth,Panama,-0.376
Designated Market Area (DMA),Oklahoma City,-0.377
Travel more,No,-0.377
Birth Year,1997.0,-0.378
Kid 7 Gender,Female,-0.378
Designated Market Area (DMA),Houston,-0.379
Oldest Child Age,6,-0.379
Designated Market Area (DMA),Johnstown - Altoona,-0.379
Designated Market Area (DMA),Tallahassee - Thomasville,-0.38
Country of Birth,Ukraine,-0.38
Household size (1),10.0,-0.382
Lizard (Working animals owned in household),Yes,-0.383
Living with brother(s) or sister(s),Yes,-0.383
State of Residence,Texas,-0.384
Designated Market Area (DMA),Louisville,-0.384
Company Size,1,-0.384
Designated Market Area (DMA),Jackson-Ms,-0.385
Source where most recent pet is from,Online/Social media,-0.385
Designated Market Area (DMA),Tucson - Sierra Vista,-0.385
Country of Birth,Dominican Republic,-0.386
Designated Market Area (DMA),Memphis,-0.386
Individual Income,$90,000 - $149,999,-0.387
Designated Market Area (DMA),Palm Springs,-0.387
Domestic fowl (e.g. chicken, turkey, pheasant, etc.) (Animals (pets or working) owned in household),Yes,-0.387
4th Oldest Child Age,5,-0.387
State of Residence,Delaware,-0.387
Country of Birth,Belarus,-0.389
Designated Market Area (DMA),Honolulu,-0.389
Designated Market Area (DMA),Fort Myers - Naples,-0.39
Country of Birth,Trinidad and Tobago,-0.39
Grandparent - yes or no,Refused/Don't know,-0.391
State of Residence,Florida,-0.392
Designated Market Area (DMA),Mobile - Pensacola - Fort Walton Beach,-0.392
15,Yes,-0.392
age,41.0,-0.393
4,No,-0.395
Profession or job,Accountant,-0.395
Designated Market Area (DMA),Orlando - Daytona Beach - Melbourne,-0.396
Kid 6 Gender,Male,-0.396
Somali (foreign languages spoken),Yes,-0.396
age,53.0,-0.397
Designated Market Area (DMA),Knoxville,-0.398
Country of Birth,Nigeria,-0.398
Country of Birth,Jamaica,-0.399
Source where most recent pet is from,Inherited it from a relative/friend,-0.4
Country of Birth,Malaysia,-0.402
Designated Market Area (DMA),Spokane,-0.402
age,25.0,-0.403
3rd Oldest Child Age,11,-0.403
New pet timeframe,Within the next four weeks,-0.404
3rd Oldest Child Age,5,-0.405
Designated Market Area (DMA),Wausau - Rhinelander,-0.405
Designated Market Area (DMA),Jacksonville - Brunswick,-0.405
Source where most recent pet is from,Auction,-0.405
Designated Market Area (DMA),Charleston - Huntington,-0.406
Country of Birth,Chile,-0.407
Division,Mountain,-0.407
Designated Market Area (DMA),La Crosse - Eau Claire,-0.408
15 years old,No,-0.408
Designated Market Area (DMA),Lincoln - Hastings - Kearney,-0.409
Liberal arts / humanities (e.g., English, history, languages, etc.),No,-0.41
Other (Dream career qualities),Yes,-0.411
Profession or job,Commercial or Investment banker,-0.412
age,32.0,-0.416
Designated Market Area (DMA),Columbus-Oh,-0.417
Frequency of using outdoor space,Once every two weeks,-0.418
Country of Birth,Peru,-0.418
Started college or re-enrolled in school,Yes,-0.421
age,72.0,-0.421
Designated Market Area (DMA),Little Rock - Pine Bluff,-0.421
Snake (Working animals owned in household),Yes,-0.421
State of Residence,Georgia,-0.422
Source where most recent pet is from,Pet shop/supermarket,-0.422
2nd Oldest Child Age,3,-0.422
Designated Market Area (DMA),Duluth - Superior,-0.422
Purchased or sold a house/flat,Yes,-0.424
Law (Degree subject studied),No,-0.424
Profession or job,Non-commissioned officer,-0.425
Dog (Pets owned in household),No,-0.425
Relationship status,Single,-0.425
Country of Birth,Viet Nam,-0.426
Country of Birth,Morocco,-0.426
Designated Market Area (DMA),Reno,-0.426
Middle Eastern,Yes,-0.428
Birth Year,1969.0,-0.429
age,89.0,-0.431
Job Title,Lawyer,-0.432
age,27.0,-0.432
3rd Oldest Child Age,9,-0.432
Birth Year,1941.0,-0.433
Cat (Pets owned in household),No,-0.433
Designated Market Area (DMA),Paducah - Cape Girardeau - Harrisburg - Mt Vernon,-0.433
Country of Birth,Cuba,-0.434
Other (Reasons for joining career field),Yes,-0.435
School type - currently attending,Law School,-0.436
3rd Oldest Child Age,15,-0.436
Sunoco Markets 1,Pittsburgh: Pittsburgh-New Castle-Weirton, PA-OH-WV,-0.437
Household size (1),8.0,-0.437
Relationship status,In a relationship but _not_ living together,-0.437
2nd Oldest Child Age,2,-0.438
Designated Market Area (DMA),San Francisco - Oakland - San Jose,-0.438
Country of Birth,Spain,-0.438
State of Residence,Kentucky,-0.438
Country of Birth,Guyana,-0.439
age,21.0,-0.439
School type - currently attending,Business School,-0.44
Company pension scheme,Yes,-0.441
State of Residence,Indiana,-0.441
Designated Market Area (DMA),Dayton,-0.441
3rd Oldest Child Age,1,-0.442
Profession or job,Investment or financial advisor,-0.442
Have more variety with projects,Yes,-0.442
Domestic fowl (e.g. chicken, turkey, pheasant, etc.) (Pets owned in household),Yes,-0.442
Not Applicable – I do not currently work (Reasons for joining career field),No,-0.443
NAICS Industry Code,Transportation and Warehousing,-0.443
Not Applicable – I do not currently work (Reasons for having a side job),No,-0.443
2nd Oldest Child Age,7,-0.443
Employment Status,Temporarily laid off,-0.445
Country of Birth,Australia,-0.445
Designated Market Area (DMA),Savannah,-0.447
Nepalese,Yes,-0.447
Age (4-way) 18-29 / 30-44 / 45-64 / 65+,18-29,-0.447
Type of school/university currently working for,Not applicable - I am not currently employed by a school or university,-0.448
Profession or job,Physician or Surgeon,-0.448
In the market for a new job,Very likely,-0.45
Russian (foreign languages spoken),Yes,-0.452
Don't know (Ages of grandchildren),Yes,-0.452
2nd Oldest Child Age,17,-0.455
Division,West South Central,-0.456
Start first job,Yes,-0.456
Would switch careers if money was no object,No,-0.457
Education,2-year,-0.457
Number of children under 18 in household,3.0,-0.459
NAICS Industry Code,Insurance,-0.459
Birth Year,1929.0,-0.459
1,Yes,-0.459
age,81.0,-0.459
None of these (Dream career qualities),Yes,-0.459
Country of Birth,France,-0.46
State of Residence,District of Columbia,-0.461
Persian/Farsi,Yes,-0.462
age,91.0,-0.462
Biological sciences (e.g., neuroscience, zoology, etc.),Yes,-0.463
Designated Market Area (DMA),Fargo - Valley City,-0.464
Not applicable - I don't have any pets,No,-0.466
State of Residence,Ohio,-0.466
Italian (foreign languages spoken),Yes,-0.467
NAICS Industry Code,Finance, Accounting, and Consulting,-0.467
